sampleID	driverType	driver	celltype	cells.per.brain	intact.protocol	intact.reporter	yield.nuclei.thousands	yield.cdna.ng_uL	fastq
s157	pureCellType	Dm3_d1	Dm3	1600	TAPIN	10XUAS_UNC84_attP2	29.6	145	161111_SN651_0608_AH5MF3BCXY/Sample_LH_145_1.fastq.gz
s158	pureCellType	Dm3_d1	Dm3	1600	TAPIN	10XUAS_UNC84_attP2	36	171	161111_SN651_0608_AH5MF3BCXY/Sample_LH_146_1.fastq.gz
s159	pureCellType	KC_gd_d2	KC_gd	NA	TAPIN	10XUAS_UNC84_attP2	44.8	154	161111_SN651_0609_BH5KTCBCXY/Sample_LH_149_1.fastq.gz
s160	pureCellType	KC_gd_d2	KC_gd	NA	TAPIN	10XUAS_UNC84_attP2	40	145	161111_SN651_0609_BH5KTCBCXY/Sample_LH_150_1.fastq.gz
s161	pureCellType	KC_apbp_ap_d1	KC_apbp_ap	NA	TAPIN	10XUAS_UNC84_attP2	17	143	161111_SN651_0609_BH5KTCBCXY/Sample_LH_151_1.fastq.gz
s162	pureCellType	KC_apbp_ap_d1	KC_apbp_ap	NA	TAPIN	10XUAS_UNC84_attP2	17.8	126	161111_SN651_0609_BH5KTCBCXY/Sample_LH_152_1.fastq.gz
s163	pureCellType	KC_apbp_m_d1	KC_apbp_m	NA	TAPIN	10XUAS_UNC84_attP2	4.9	93	161111_SN651_0609_BH5KTCBCXY/Sample_LH_153_1.fastq.gz
s164	pureCellType	KC_apbp_m_d1	KC_apbp_m	NA	TAPIN	10XUAS_UNC84_attP2	5	94	161111_SN651_0609_BH5KTCBCXY/Sample_LH_154_1.fastq.gz
s165	pureCellType	KC_ab_p_d1	KC_ab_p	NA	TAPIN	10XUAS_UNC84_attP2	4.5	146	161111_SN651_0609_BH5KTCBCXY/Sample_LH_155_1.fastq.gz
s166	pureCellType	KC_ab_p_d1	KC_ab_p	NA	TAPIN	10XUAS_UNC84_attP2	4.5	139	161111_SN651_0609_BH5KTCBCXY/Sample_LH_156_1.fastq.gz
s167	comboCellTypes	KC_ab_c.p.s_d1	KC_ab_c.p.s	NA	TAPIN	10XUAS_UNC84_attP2	67	159	161114_SN651_0610_AH5MFFBCXY/Sample_LH_157_1.fastq.gz
s168	comboCellTypes	KC_ab_c.p.s_d1	KC_ab_c.p.s	NA	TAPIN	10XUAS_UNC84_attP2	66	151	161114_SN651_0610_AH5MFFBCXY/Sample_LH_158_1.fastq.gz
s169	pureCellType	KC_ab_s_d1	KC_ab_s	NA	TAPIN	10XUAS_UNC84_attP2	27.2	121	161114_SN651_0610_AH5MFFBCXY/Sample_LH_159_1.fastq.gz
s170	pureCellType	KC_ab_s_d1	KC_ab_s	NA	TAPIN	10XUAS_UNC84_attP2	26.6	138	161114_SN651_0610_AH5MFFBCXY/Sample_LH_160_1.fastq.gz
s171	pureCellType	KC_ab_c_d1	KC_ab_c	NA	TAPIN	10XUAS_UNC84_attP2	37.6	147	161114_SN651_0610_AH5MFFBCXY/Sample_LH_161_1.fastq.gz
s172	pureCellType	KC_ab_c_d1	KC_ab_c	NA	TAPIN	10XUAS_UNC84_attP2	42	150	161114_SN651_0610_AH5MFFBCXY/Sample_LH_162_1.fastq.gz
s173	pureCellType	PAM_7_d1	PAM_7	NA	TAPIN	10XUAS_UNC84_attP2	6	74	161114_SN651_0610_AH5MFFBCXY/Sample_LH_163_1.fastq.gz
s174	pureCellType	PAM_7_d1	PAM_7	NA	TAPIN	10XUAS_UNC84_attP2	4	93	161114_SN651_0610_AH5MFFBCXY/Sample_LH_164_1.fastq.gz
s175	pureCellType	PAM_9_d1	PAM_9	NA	TAPIN	10XUAS_UNC84_attP2	3.6	86	161114_SN651_0611_BH5HHHBCXY/Sample_LH_165_1.fastq.gz
s176	pureCellType	PAM_9_d1	PAM_9	NA	TAPIN	10XUAS_UNC84_attP2	3.7	75	161114_SN651_0611_BH5HHHBCXY/Sample_LH_166_1.fastq.gz
s177	pureCellType	PAM_8_d1	PAM_8	NA	TAPIN	10XUAS_UNC84_attP2	5.7	100	161114_SN651_0611_BH5HHHBCXY/Sample_LH_167_1.fastq.gz
s178	pureCellType	PAM_8_d1	PAM_8	NA	TAPIN	10XUAS_UNC84_attP2	4.8	112	161114_SN651_0611_BH5HHHBCXY/Sample_LH_168_1.fastq.gz
s179	pureCellType	PAM_4_d1	PAM_4	NA	TAPIN	10XUAS_UNC84_attP2	19	108	161114_SN651_0611_BH5HHHBCXY/Sample_LH_169_1.fastq.gz
s180	pureCellType	PAM_4_d1	PAM_4	NA	TAPIN	10XUAS_UNC84_attP2	26.2	146	161114_SN651_0611_BH5HHHBCXY/Sample_LH_170_1.fastq.gz
s181	pureCellType	PAM_5_d1	PAM_5	NA	TAPIN	10XUAS_UNC84_attP2	7.3	80	161114_SN651_0611_BH5HHHBCXY/Sample_LH_171_1.fastq.gz
s182	pureCellType	PAM_5_d1	PAM_5	NA	TAPIN	10XUAS_UNC84_attP2	6	118	161114_SN651_0611_BH5HHHBCXY/Sample_LH_172_1.fastq.gz
s183	pureCellType	PAM_1_d1	PAM_1	NA	TAPIN	10XUAS_UNC84_attP2	3.4	127	161118_SN651_0613_AH5JN5BCXY/Sample_LH_173_1.fastq.gz
s184	pureCellType	PAM_1_d1	PAM_1	NA	TAPIN	10XUAS_UNC84_attP2	3.7	115	161118_SN651_0613_AH5JN5BCXY/Sample_LH_174_1.fastq.gz
s185	pureCellType	MBON_bp1_d1	MBON_bp1	NA	TAPIN	10XUAS_UNC84_attP2	2.1	90	161118_SN651_0613_AH5JN5BCXY/Sample_LH_175_1.fastq.gz
s186	pureCellType	MBON_bp1_d1	MBON_bp1	NA	TAPIN	10XUAS_UNC84_attP2	1.7	64	161118_SN651_0613_AH5JN5BCXY/Sample_LH_176_1.fastq.gz
s187	pureCellType	PAM_3_d1	PAM_3	NA	TAPIN	10XUAS_UNC84_attP2	4.9	129	161118_SN651_0613_AH5JN5BCXY/Sample_LH_177_1.fastq.gz
s188	pureCellType	PAM_3_d1	PAM_3	NA	TAPIN	10XUAS_UNC84_attP2	3.6	117	161118_SN651_0613_AH5JN5BCXY/Sample_LH_178_1.fastq.gz
s189	pureCellType	T4_d2	T4	6400	TAPIN	10XUAS_UNC84_attP2	9	187	170203_SN651_0620_AH5T3MBCXY/Sample_LH_1_1.fastq.gz
s190	pureCellType	T4_d2	T4	6400	TAPIN	10XUAS_UNC84_attP2	9.5	178	170203_SN651_0620_AH5T3MBCXY/Sample_LH_2_1.fastq.gz
s191	pureCellType	T4_d1	T4	6400	TAPIN	10XUAS_UNC84_attP2	9	162	170203_SN651_0620_AH5T3MBCXY/Sample_LH_3_1.fastq.gz
s192	pureCellType	T4_d1	T4	6400	TAPIN	10XUAS_UNC84_attP2	10	170	170203_SN651_0620_AH5T3MBCXY/Sample_LH_4_1.fastq.gz
s193	pureCellType	T5_d1	T5	6400	TAPIN	10XUAS_UNC84_attP2	8.5	144	170203_SN651_0620_AH5T3MBCXY/Sample_LH_5_1.fastq.gz
s194	pureCellType	T5_d1	T5	6400	TAPIN	10XUAS_UNC84_attP2	8.3	176	170203_SN651_0620_AH5T3MBCXY/Sample_LH_6_1.fastq.gz
s195	pureCellType	T5_d2	T5	6400	TAPIN	10XUAS_UNC84_attP2	11	156	170203_SN651_0620_AH5T3MBCXY/Sample_LH_7_1.fastq.gz
s196	pureCellType	T5_d2	T5	6400	TAPIN	10XUAS_UNC84_attP2	11	166	170203_SN651_0620_AH5T3MBCXY/Sample_LH_8_1.fastq.gz
s197	comboCellTypes	T4.T5_d2	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	26	195	170203_SN651_0621_BH5MCWBCXY/Sample_LH_9_1.fastq.gz
s198	comboCellTypes	T4.T5_d2	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	25	192	170203_SN651_0621_BH5MCWBCXY/Sample_LH_10_1.fastq.gz
s199	comboCellTypes	T4.T5_d1	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	55.2	208	170203_SN651_0621_BH5MCWBCXY/Sample_LH_11_1.fastq.gz
s200	comboCellTypes	T4.T5_d1	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	50.1	201	170203_SN651_0621_BH5MCWBCXY/Sample_LH_12_1.fastq.gz
s201	pureCellType	PAM_6_d1	PAM_6	NA	TAPIN	10XUAS_UNC84_attP2	2.5	132	170203_SN651_0621_BH5MCWBCXY/Sample_LH_13_1.fastq.gz
s202	pureCellType	PAM_6_d1	PAM_6	NA	TAPIN	10XUAS_UNC84_attP2	2.3	132	170203_SN651_0621_BH5MCWBCXY/Sample_LH_14_1.fastq.gz
s203	pureCellType	PAM_2_d1	PAM_2	NA	TAPIN	10XUAS_UNC84_attP2	5.5	133	170203_SN651_0621_BH5MCWBCXY/Sample_LH_15_1.fastq.gz
s204	pureCellType	PAM_2_d1	PAM_2	NA	TAPIN	10XUAS_UNC84_attP2	5.5	119	170203_SN651_0621_BH5MCWBCXY/Sample_LH_16_1.fastq.gz
s205	broad	Gad1_d1	Gad1	NA	TAPIN	13XLexAop2_UNC84_attP18	33	158	170206_SN651_0622_AH5MCMBCXY/Sample_LH_17_1.fastq.gz
s206	broad	Gad1_d1	Gad1	NA	TAPIN	13XLexAop2_UNC84_attP18	34	177	170206_SN651_0622_AH5MCMBCXY/Sample_LH_18_1.fastq.gz
s207	broad	ChAT_d1	ChAT	NA	TAPIN	10XUAS_UNC84_attP2	20	141	170206_SN651_0622_AH5MCMBCXY/Sample_LH_19_1.fastq.gz
s208	broad	ChAT_d1	ChAT	NA	TAPIN	10XUAS_UNC84_attP2	21	140	170206_SN651_0622_AH5MCMBCXY/Sample_LH_20_1.fastq.gz
s209	broad	VGlut_d1	VGlut	NA	TAPIN	10XUAS_UNC84_attP2	35	164	170206_SN651_0622_AH5MCMBCXY/Sample_LH_21_1.fastq.gz
s210	broad	VGlut_d1	VGlut	NA	TAPIN	10XUAS_UNC84_attP2	35	180	170206_SN651_0622_AH5MCMBCXY/Sample_LH_22_1.fastq.gz
s211	pureCellType	Mi9_d1	Mi9	1600	TAPIN	10XUAS_UNC84_attP2	14	156	170206_SN651_0622_AH5MCMBCXY/Sample_LH_23_1.fastq.gz
s212	pureCellType	Mi9_d1	Mi9	1600	TAPIN	10XUAS_UNC84_attP2	14.2	128	170206_SN651_0622_AH5MCMBCXY/Sample_LH_24_1.fastq.gz
s213	pureCellType	Mi9_d2	Mi9	1600	TAPIN	10XUAS_UNC84_attP2	18	170	170206_SN651_0623_BH5LYHBCXY/Sample_LH_25_1.fastq.gz
s214	pureCellType	Mi9_d2	Mi9	1600	TAPIN	10XUAS_UNC84_attP2	19	178	170206_SN651_0623_BH5LYHBCXY/Sample_LH_26_1.fastq.gz
s215	pureCellType	Mi15_d1	Mi15	1400	TAPIN	10XUAS_UNC84_attP2	31	179	170206_SN651_0623_BH5LYHBCXY/Sample_LH_27_1.fastq.gz
s216	pureCellType	Mi15_d1	Mi15	1400	TAPIN	10XUAS_UNC84_attP2	30	172	170206_SN651_0623_BH5LYHBCXY/Sample_LH_28_1.fastq.gz
s217	pureCellType	LC10d_d1	LC10d	100	TAPIN	10XUAS_UNC84_attP2	12	67	170206_SN651_0623_BH5LYHBCXY/Sample_LH_29_1.fastq.gz
s218	pureCellType	LC10d_d1	LC10d	100	TAPIN	10XUAS_UNC84_attP2	12.4	138	170206_SN651_0623_BH5LYHBCXY/Sample_LH_30_1.fastq.gz
s219	pureCellType	LC10bc_d1	LC10bc	100	TAPIN	10XUAS_UNC84_attP2	13.9	109	170206_SN651_0623_BH5LYHBCXY/Sample_LH_31_1.fastq.gz
s220	pureCellType	LC10bc_d1	LC10bc	100	TAPIN	10XUAS_UNC84_attP2	14	143	170206_SN651_0623_BH5LYHBCXY/Sample_LH_32_1.fastq.gz
s221	pureCellType	Dm1_d1	Dm1	80	TAPIN	10XUAS_UNC84_attP2	16.9	171	170208_SN651_0624_AH7MK5BCXY/Sample_LH_33_1.fastq.gz
s222	pureCellType	Dm1_d1	Dm1	80	TAPIN	10XUAS_UNC84_attP2	20	171	170208_SN651_0624_AH7MK5BCXY/Sample_LH_34_1.fastq.gz
s223	pureCellType	Dm12_d1	Dm12	250	TAPIN	10XUAS_UNC84_attP2	7	146	170208_SN651_0624_AH7MK5BCXY/Sample_LH_35_1.fastq.gz
s224	pureCellType	Dm12_d1	Dm12	250	TAPIN	10XUAS_UNC84_attP2	7	161	170208_SN651_0624_AH7MK5BCXY/Sample_LH_36_1.fastq.gz
s225	pureCellType	Muscles_App_d1	Muscles_App	NA	TAPIN	5XUAS_UNC84_attP18	47	171	170208_SN651_0624_AH7MK5BCXY/Sample_LH_37_1.fastq.gz
s226	pureCellType	Muscles_App_d1	Muscles_App	NA	TAPIN	5XUAS_UNC84_attP18	43	168	170208_SN651_0624_AH7MK5BCXY/Sample_LH_38_1.fastq.gz
s227	pureCellType	Muscles_Head_d1	Muscles_Head	NA	TAPIN	5XUAS_UNC84_attP18	27	168	170208_SN651_0624_AH7MK5BCXY/Sample_LH_39_1.fastq.gz
s228	pureCellType	Muscles_Head_d1	Muscles_Head	NA	TAPIN	5XUAS_UNC84_attP18	27	174	170208_SN651_0624_AH7MK5BCXY/Sample_LH_40_1.fastq.gz
s229	pureCellType	Muscles_Head_d2	Muscles_Head	NA	TAPIN	5XUAS_UNC84_attP18	8.5	160	170208_SN651_0625_BH772VBCXY/Sample_LH_41_1.fastq.gz
s230	pureCellType	Muscles_Head_d2	Muscles_Head	NA	TAPIN	5XUAS_UNC84_attP18	10	172	170208_SN651_0625_BH772VBCXY/Sample_LH_42_1.fastq.gz
s231	comboCellTypes	T4.T5_d1_male	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	34	182	170208_SN651_0625_BH772VBCXY/Sample_LH_43_1.fastq.gz
s232	comboCellTypes	T4.T5_d1_male	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	36	196	170208_SN651_0625_BH772VBCXY/Sample_LH_44_1.fastq.gz
s233	comboCellTypes	T4.T5_d1_female	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	32.8	195	170208_SN651_0625_BH772VBCXY/Sample_LH_45_1.fastq.gz
s234	comboCellTypes	T4.T5_d1_female	T4.T5	12800	TAPIN	10XUAS_UNC84_attP2	32	188	170208_SN651_0625_BH772VBCXY/Sample_LH_46_1.fastq.gz
s235	pureCellType	LPTC_HS.VS_d1	LPTC_HS.VS	20	TAPIN	10XUAS_UNC84_attP2	12.4	94	170208_SN651_0625_BH772VBCXY/Sample_LH_47_1.fastq.gz
s236	pureCellType	LPTC_HS.VS_d1	LPTC_HS.VS	20	TAPIN	10XUAS_UNC84_attP2	11	105	170208_SN651_0625_BH772VBCXY/Sample_LH_48_1.fastq.gz
s237	broad	CCAP_d1	CCAP	4	TAPIN	10XUAS_UNC84_attP2	0.75	17	170210_SN651_0626_AH7MJLBCXY/Sample_LH_49_1.fastq.gz
s238	broad	CCAP_d1	CCAP	4	TAPIN	10XUAS_UNC84_attP2	0.75	67	170210_SN651_0626_AH7MJLBCXY/Sample_LH_50_1.fastq.gz
s239	broad	NPF_d1	NPF	23	TAPIN	10XUAS_UNC84_attP2	2.5	93	170210_SN651_0626_AH7MJLBCXY/Sample_LH_51_1.fastq.gz
s240	broad	NPF_d1	NPF	23	TAPIN	10XUAS_UNC84_attP2	2.7	133	170210_SN651_0626_AH7MJLBCXY/Sample_LH_52_1.fastq.gz
s241	broad	Pdf_d1	Pdf	18	TAPIN	10XUAS_UNC84_attP2	7	111	170210_SN651_0626_AH7MJLBCXY/Sample_LH_53_1.fastq.gz
s242	broad	Pdf_d1	Pdf	18	TAPIN	10XUAS_UNC84_attP2	7.5	112	170210_SN651_0626_AH7MJLBCXY/Sample_LH_54_1.fastq.gz
s243	pureCellType	lLNv_d1	lLNv	10	TAPIN	10XUAS_UNC84_attP2	1.2	43	170210_SN651_0626_AH7MJLBCXY/Sample_LH_55_1.fastq.gz
s244	pureCellType	lLNv_d1	lLNv	10	TAPIN	10XUAS_UNC84_attP2	1.25	96	170210_SN651_0626_AH7MJLBCXY/Sample_LH_56_1.fastq.gz
s245	pureCellType	MBON_g1pedc_d1	MBON_g1pedc	NA	TAPIN	10XUAS_UNC84_attP2	0.7	44	170210_SN651_0627_BH7C5LBCXY/Sample_LH_57_1.fastq.gz
s246	pureCellType	MBON_g1pedc_d1	MBON_g1pedc	NA	TAPIN	10XUAS_UNC84_attP2	0.7	77	170210_SN651_0627_BH7C5LBCXY/Sample_LH_58_1.fastq.gz
s247	pureCellType	Lat_d1	Lat	10	TAPIN	10XUAS_UNC84_attP2	6	108	170210_SN651_0627_BH7C5LBCXY/Sample_LH_59_1.fastq.gz
s248	pureCellType	Lat_d1	Lat	10	TAPIN	10XUAS_UNC84_attP2	6.3	107	170210_SN651_0627_BH7C5LBCXY/Sample_LH_60_1.fastq.gz
s249	pureCellType	KC_gd_d1	KC_gd	NA	TAPIN	10XUAS_UNC84_attP2	10	151	170210_SN651_0627_BH7C5LBCXY/Sample_LH_63_1.fastq.gz
s250	pureCellType	KC_gd_d1	KC_gd	NA	TAPIN	10XUAS_UNC84_attP2	10.5	149	170210_SN651_0627_BH7C5LBCXY/Sample_LH_64_1.fastq.gz
c001	control	L1L2_aFLAG_beads	mock	NA	INTACT	10XUAS_UNC84_attP2	0	50	151021_SN651_0464_AH7YW7BCXX/Sample_LH_3CbeadsF_3CbF__1.fastq.gz
c002	control	L1L2_aFLAG_beads	mock	NA	INTACT	10XUAS_UNC84_attP2	0	77	151021_SN651_0464_AH7YW7BCXX/Sample_LH_4Cbeads_4CbF__1.fastq.gz
c003	control	no_driver_aGFP_beads	mock	NA	INTACT	10XUAS_UNC84_attP2	0	60	151022_SN651_0467_BH7YWMBCXX/Sample_LH_5Cbeads_5Cb__1.fastq.gz
c004	control	no_driver_aGFP_beads	mock	NA	INTACT	10XUAS_UNC84_attP2	0	70	151022_SN651_0467_BH7YWMBCXX/Sample_LH_6Cbeads_6Cb__1.fastq.gz
c005	control	Tm1_d1_input	input	NA	TAPIN	10XUAS_UNC84_attP2	unk	221	160809_SN651_0567_AHWNTMBCXX/Sample_LH_1_1.fastq.gz
c006	control	Tm1_d1_input	input	NA	TAPIN	10XUAS_UNC84_attP2	unk	198	160906_SN651_0576_AHY3NKBCXX/Sample_LH_6_1.fastq.gz
c007	control	Tm1_d1_capture1	Tm1	1600	TAPIN	10XUAS_UNC84_attP2	53	234	160809_SN651_0567_AHWNTMBCXX/Sample_LH_2_1.fastq.gz
c008	control	Tm1_d1_capture1	Tm1	1600	TAPIN	10XUAS_UNC84_attP2	50	202	160809_SN651_0567_AHWNTMBCXX/Sample_LH_7_1.fastq.gz
c009	control	Tm1_d1_mock1	mock1	NA	TAPIN	10XUAS_UNC84_attP2	0	128	160809_SN651_0567_AHWNTMBCXX/Sample_LH_3_1.fastq.gz
c010	control	Tm1_d1_mock1	mock1	NA	TAPIN	10XUAS_UNC84_attP2	0	116	160809_SN651_0567_AHWNTMBCXX/Sample_LH_8_1.fastq.gz
c011	control	Tm1_d1_mock2	mock2	NA	TAPIN	10XUAS_UNC84_attP2	0	19	160809_SN651_0567_AHWNTMBCXX/Sample_LH_5_1.fastq.gz
c012	control	Tm1_d1_mock2	mock2	NA	TAPIN	10XUAS_UNC84_attP2	0	22	160809_SN651_0568_BHW2NHBCXX/Sample_LH_10_1.fastq.gz
c013	control	no_driver_aGFP_beads	mock2	NA	TAPIN	10XUAS_UNC84_attP2	0	10	160912_SN651_0581_BHYF3HBCXX/Sample_LH_81_1.fastq.gz
c014	control	no_driver_aGFP_beads	mock2	NA	TAPIN	10XUAS_UNC84_attP2	0	10	160912_SN651_0581_BHYF3HBCXX/Sample_LH_82_1.fastq.gz
c015	control	mock2	mock2	NA	TAPIN	10XUAS_UNC84_attP2	0	10	161118_SN651_0613_AH5JN5BCXY/Sample_LH_179_1.fastq.gz
c016	control	mock2	mock2	NA	TAPIN	10XUAS_UNC84_attP2	0	12	161118_SN651_0613_AH5JN5BCXY/Sample_LH_180_1.fastq.gz
